,seller_roleid,seller_name,price,first_onsale_price,area_name,collect_num,key_num,general_value,description
0,202001260902116-1-4DBSJVCRQHDOTR,请喊我八爷,1988.0,1988.0,征服赛季,10,4,309,"缺少,弓张机,弓孙权,骑曹操,步董卓,弓吕布,骑马超,步貂蝉,弓诸葛亮,骑徐庶"
0,201911291902116-1-NWBV5V3NP793P1,凸鼻南波湾,2999.0,3800.0,备战区,34,9,459,"缺少,弓孙权,步皇甫嵩,骑马超,步貂蝉"
0,201912272102116-1-6AOBSI4PMCBJXQ,至尊宝丶,1499.0,1999.0,备战区,3,7,263,"缺少,弓张机,步皇甫嵩,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,202001081902116-1-GY0UBJI4DYGTZJ,墨白丶王炸,880.0,1000.0,备战区,6,4,213,"缺少,步刘备,弓张机,弓孙权,步皇甫嵩,弓吕布,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,202001042002116-1-LMQRG9MWGTQO2X,星空下,700.0,2000.0,备战区,1,7,182,"缺少,弓张机,弓吕蒙,步皇甫嵩,骑马超,弓诸葛亮,骑徐庶"
0,201911301102116-1-ADTGHYKZZPAHCG,伊法魔尼,1222.0,3333.0,备战区,0,3,226,"缺少,步刘备,弓张机,弓吕蒙,骑曹操,步皇甫嵩,弓吕布,骑马超,步貂蝉,弓诸葛亮,骑徐庶"
0,202001101902116-1-HHRLCPOWPHM40L,沫夕,666.0,888.0,征服赛季,3,5,197,"缺少,步刘备,弓张机,弓孙权,骑曹操,步皇甫嵩,步貂蝉,弓诸葛亮,骑徐庶"
0,201912271802116-1-M0DTU1696XRBVU,幻风铃,2100.0,3000.0,备战区,3,7,237,"缺少,弓张机,步皇甫嵩,步董卓,步貂蝉,弓诸葛亮,骑徐庶"
0,201909281302116-1-YB0NVYQAMUZ9AR,龍丶纳兰焯,653.0,2000.0,备战区,6,5,214,"缺少,步刘备,弓张机,弓吕蒙,步皇甫嵩,弓吕布,骑马超,弓诸葛亮,骑徐庶"
0,201911271302116-1-RGBW4SBJYDAP0Y,墨丨苏怜星,999.0,1500.0,备战区,51,7,236,"缺少,弓张机,弓吕蒙,步皇甫嵩,骑张辽,弓诸葛亮,骑徐庶"
0,202001120002116-1-T79PXFTCEFBBQK,嬴丨混子明,3350.0,5000.0,备战区,5,7,377,"缺少,弓孙权,步皇甫嵩,弓吕布,骑马超,步貂蝉,骑徐庶"
0,202001251302116-1-0NVNNDC5SP945K,天弦丶苏杭城,2699.0,2888.0,备战区,19,9,410,"缺少,步皇甫嵩,步董卓,骑马超,弓诸葛亮"
0,202001252102116-1-KQCHMUV94RMFN3,墨锦倾城,3000.0,3000.0,备战区,8,7,327,"缺少,步董卓,弓吕布,骑马超,骑张辽,弓诸葛亮,骑徐庶"
0,201912201502116-1-MAZB5PN23JDRQQ,河朔十八骑,600.0,600.0,备战区,11,2,165,"缺少,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,步董卓,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,201912062302116-1-SGVLEU7FAPDFZM,该怎么办,200.0,300.0,备战区,2,2,115,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,弓吕布,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,202001260002116-1-UDFRTNEBVBBTFY,禅丶日天,300.0,350.0,备战区,1,3,153,"缺少,步刘备,弓张机,弓吕蒙,步皇甫嵩,步董卓,弓吕布,骑马超,步貂蝉,弓诸葛亮,骑徐庶"
0,201911012102116-1-458FOLAXJJX5EO,南中十五步,444.0,435.0,备战区,7,1,151,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,202001241602116-1-SESAZPYQB6ISZR,咸阳斥候,1000.0,1000.0,征服赛季,0,2,189,"缺少,步刘备,弓张机,弓孙权,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,步貂蝉,弓诸葛亮,骑徐庶"
0,202001040902116-1-6LF68FLRAUN5LX,江一笑,1099.0,1998.0,备战区,10,6,246,"缺少,弓张机,弓孙权,骑曹操,步皇甫嵩,步貂蝉,弓诸葛亮,骑徐庶"
0,202001061402116-1-ZL2N1YDO6ZGI7V,天籁丶无声,2800.0,3300.0,备战区,8,8,385,"缺少,弓张机,弓孙权,步皇甫嵩,弓吕布,弓诸葛亮"
0,202001081202116-1-WTIXSJT9FGGZY7,朵颜鬼手掏,400.0,500.0,征服赛季,2,5,206,"缺少,步刘备,弓吕蒙,步皇甫嵩,弓吕布,骑马超,步貂蝉,弓诸葛亮,骑徐庶"
0,202001252002116-1-WZ8PGA0MBOFFUA,帝丿祭酒,399.0,544.0,征服赛季,0,2,118,"缺少,步刘备,弓张机,弓吕蒙,骑曹操,步皇甫嵩,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,201912251302116-1-WCIZU2YJBKWCIH,巴郡丶欧洲豆,2488.0,2588.0,征服赛季,2,9,373,"缺少,步皇甫嵩,步董卓,骑马超,弓诸葛亮"
0,202001051102116-1-21QUZJGKO09MWO,铁乌鸦,200.0,200.0,备战区,7,1,104,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,201911172102116-1-ROL4HKXAHDJNCF,定陶白袍军,980.0,2200.0,备战区,13,5,363,"缺少,弓吕蒙,步皇甫嵩,步董卓,弓吕布,骑马超,步貂蝉,弓诸葛亮,骑徐庶"
