,seller_roleid,seller_name,price,first_onsale_price,area_name,collect_num,key_num,general_value,skill_value
0,202001250502116-1-KVSGQ29LBZO0DD,魂丶挽歌,1800.0,1600.0,备战区,6,4,291,1
0,202001051002116-1-QHLC9MHVICCYKD,葫丨二爷,366.0,420.0,征服赛季,16,2,169,1
0,202001130702116-1-ILUYBINLBJFMXO,狗拖,700.0,999.0,备战区,8,5,128,1
0,202001291102116-1-KA9DABJZILIPKT,张国荣,1999.0,1999.0,征服赛季,7,9,295,1
0,202001082102116-1-5Q66SDCIWVTSTI,北游丶,1000.0,1200.0,征服赛季,5,8,184,1
0,202001131202116-1-SWKNCJDACEPMWN,樂丨海龟先生,1998.0,2500.0,备战区,9,9,328,1
0,202001140302116-1-UHYYXJ2QRVQCIL,柒捌玖玖爷,1688.0,1888.0,备战区,11,6,263,1
0,201911232302116-1-T994EIXDL9BJZI,凌丶青莲弑鎏,3580.0,3880.0,备战区,27,7,305,1
0,201910181402116-1-7LLECTOPOMMSYN,義丶段誉,1999.0,3999.0,备战区,5,6,250,1
0,202001290002116-1-SEMGQF9K9ONHLY,墨白丶无伤,3000.0,3500.0,征服赛季,0,9,343,1
0,202001161102116-1-NDJLHBX5HVSD80,圣丶8023,459.0,565.0,备战区,6,5,127,1
0,201911011202116-1-HRXRLQUEFUHQZ1,浩然正气,3333.0,5888.0,备战区,43,7,378,1
0,202001041602116-1-UJDFCOY4TYPQ9L,流沙丨梦三千,949.0,1499.0,征服赛季,21,7,211,1
0,202001131702116-1-REZVAA3BYJ2LOE,烎乄萍分秋色,648.0,500.0,备战区,2,6,170,1
0,202001282302116-1-KBRRWD6FLP7R7B,东浙君,2500.0,2500.0,征服赛季,0,6,221,1
0,202001282302116-1-KBRRWD6FLP7R7B,东浙君,2500.0,2500.0,征服赛季,0,6,221,1
0,202001252102116-1-OS4LLK6OJQJC1P,马云騄,330.0,280.0,备战区,2,1,92,1
0,202001252102116-1-UHL732DXAN1FQD,克瑞斯,280.0,280.0,备战区,4,2,111,1
0,202001220002116-1-HXPVI42GHQRBNS,扶闲止一,540.0,550.0,征服赛季,38,4,181,1
0,201912140702116-1-8QKBX8BTFLRPAS,白衣映孤城,2000.0,2800.0,备战区,3,3,185,1
0,201912251502116-1-BWLAUPTK6HE3PO,纵横丶山海,400.0,1000.0,备战区,36,3,165,1
0,202001141002116-1-SATT8RHCVHENGM,墨丶公子兰,1199.0,1888.0,备战区,28,7,288,1
0,202001151702116-1-DC0HDTFINAXQ5Q,墨丶公子岚,1299.0,1499.0,备战区,31,5,262,1
0,201912270002116-1-GTMW92FDZIMQF8,赏金丶暗部,200.0,200.0,备战区,12,2,141,1
0,201911180702116-1-FFS6FL21YAD2F3,盐水鸭,400.0,400.0,备战区,14,2,172,1
0,202001282002116-1-NNQ2QJEM0ABVKR,昊丨欧雲,761.0,666.0,备战区,36,5,132,1
0,202001101602116-1-ZJQK1LFWYGDXZ2,眞丨基霸欧K,1700.0,1800.0,备战区,12,6,252,1
0,202001281102116-1-6UY7K5FJUSCE9Z,血战丶小七,700.0,650.0,备战区,10,6,272,1
0,202001280602116-1-GSUCK9MFUIVCUD,济北十二卫,400.0,400.0,备战区,0,0,122,1
0,202001280602116-1-MOAVBI05CMPS1A,池阳无难军,400.0,400.0,备战区,0,3,168,1
0,202001261002116-1-CZB1P4ISYXLYRW,魔煞,220.0,200.0,征服赛季,6,3,121,1
0,202001290102116-1-9RJDNXZ4F6IP4X,西瓜灬黄了,300.0,300.0,征服赛季,0,2,84,1
0,202001280702116-1-ANDQVB570DTVZW,南漓,888.0,800.0,征服赛季,6,7,160,1
0,202001241202116-1-R9WO96A6ACMJM0,萌萌哒小狗蛋,2500.0,3500.0,征服赛季,12,8,285,1
0,202001280202116-1-X1IBMKXGFGDFTL,待我奉天时,300.0,250.0,征服赛季,0,1,86,1
0,202001271002116-1-LWNT2XYNAG3UUY,喵丨神兵天降,450.0,666.0,征服赛季,10,6,114,1
0,202001282202116-1-NVTZSXDXWNRLEZ,沔阳十五步,648.0,500.0,征服赛季,8,3,130,1
0,202001280202116-1-9IMQLFHIBBAF52,血腥序曲,1288.0,1288.0,备战区,0,2,156,1
0,202001260702116-1-DTWGEVKHRPHEJT,黯蔷薇,1900.0,1111.0,征服赛季,11,6,309,1
0,202001241202116-1-GC44EWMAKFURVY,聖丨疾风,1666.0,222.2,征服赛季,7,6,210,1
0,201911050002116-1-WQYYHTRPUZAUQG,回归世,3600.0,1600.0,备战区,3,10,305,1
0,202001290002116-1-OTCDMXFNCSOR3T,济南禁卫军,800.0,800.0,征服赛季,2,4,173,1
0,201912151802116-1-9YFQ7U8RCPMKJJ,吢,800.0,999.0,征服赛季,5,3,173,1
0,202001251302116-1-NKVH4EYVMRVCUR,十叁姨,1300.0,999.0,备战区,4,5,332,1
0,202001180002116-1-GIPQCJZSLRFNOB,小小凯,400.0,648.0,征服赛季,47,2,124,1
0,201911121502116-1-PTROXXFRHLASSO,平民配将师,258.0,288.0,备战区,10,1,75,1
0,201912150802116-1-MLIIYLABG9XOPI,吃肉肉,550.0,500.0,备战区,4,2,156,1
0,202001290002116-1-IBATIC7HN784CF,一杯童子尿,500.0,500.0,征服赛季,2,4,159,1
0,202001082102116-1-EMAU7Y0SBWH3IT,末等闲,1499.0,2598.0,备战区,2,7,287,1
0,202001290002116-1-53GQ5KGTHDXBEK,梁国解烦兵,500.0,500.0,征服赛季,4,3,135,1
0,202001082102116-1-BNUVWHHDSPU7DH,玉田十三步,1499.0,2598.0,备战区,5,6,326,1
0,202001282302116-1-GZAHHWXII96BT9,蚂蚁丶城,1400.0,1488.0,征服赛季,0,7,172,1
0,201911221502116-1-LOS4CINZPPVTRQ,戰丶拉不出,1000.0,950.0,备战区,3,6,169,1
0,202001251602116-1-VNPTLLTPIZRQ41,Wo丶特仑苏,1300.0,1200.0,征服赛季,0,6,270,1
